Row	energy_consumption	starting_temp	starting_humi	time_taken	factor	path	ending_temp	ending_humi
494	[]	24.79	48.75	[]	Infinity	[]		
495	[]	22.98	60.5	[]	Infinity	[]		
496	[]	22.98	60.5	[]	Infinity	[]		
497	[]	24.79	48.75	[]	Infinity	[]		
498	[]	24.79	48.75	[]	Infinity	[]		
499	[]	22.98	60.5	[]	Infinity	[]		
500	[]	24.79	48.75	[]	Infinity	[]		
501	[]	24.79	48.75	[]	Infinity	[]		
502	[]	24.79	48.75	[]	Infinity	[]		
503	[]	24.79	48.75	[]	Infinity	[]		
504	[]	24.79	48.75	[]	Infinity	[]		
505	[]	22.98	60.5	[]	Infinity	[]		
506	[]	22.98	60.5	[]	Infinity	[]		
507	[]	22.98	60.5	[]	Infinity	[]		
508	[]	22.98	60.5	[]	Infinity	[]		
509	[]	22.98	60.5	[]	Infinity	[]		
510	[]	22.98	60.5	[]	Infinity	[]		
511	[]	24.79	48.75	[]	Infinity	[]		
512	[]	24.79	48.75	[]	Infinity	[]		
513	[]	22.98	60.5	[]	Infinity	[]		
514	[]	24.79	48.75	[]	Infinity	[]		
515	[]	24.79	48.75	[]	Infinity	[]		
516	[]	24.79	48.75	[]	Infinity	[]		
517	[]	24.79	48.75	[]	Infinity	[]		
518	[]	24.79	48.75	[]	Infinity	[]		
519	[]	22.98	60.5	[]	Infinity	[]		
520	[]	22.98	60.5	[]	Infinity	[]		
521	[]	22.98	60.5	[]	Infinity	[]		
522	[]	22.98	60.5	[]	Infinity	[]		
523	[]	22.98	60.5	[]	Infinity	[]		
524	[]	24.79	48.75	[]	Infinity	[]		
525	[]	22.98	60.5	[]	Infinity	[]		
526	[]	22.98	60.5	[]	Infinity	[]		
527	[]	22.98	60.5	[]	Infinity	[]		
528	[]	22.98	60.5	[]	Infinity	[]		
529	[]	22.98	60.5	[]	Infinity	[]		
530	[]	22.98	60.5	[]	Infinity	[]		
531	[]	24.79	48.75	[]	Infinity	[]		
532	[]	22.98	60.5	[]	Infinity	[]		
533	[]	22.98	60.5	[]	Infinity	[]		
534	[]	22.98	60.5	[]	Infinity	[]		
535	[]	22.98	60.5	[]	Infinity	[]		
536	[]	24.79	48.75	[]	Infinity	[]		
537	[]	24.79	48.75	[]	Infinity	[]		
538	[]	24.79	48.75	[]	Infinity	[]		
